Address	Length	Type	String
.rdata:0000000142DA6FB0	00000011	C	SEC_E_NO_PA_DATA
.rdata:0000000142DA6FC8	0000001A	C	SEC_E_NO_S4U_PROT_SUPPORT
.rdata:0000000142DA6FE8	00000013	C	SEC_E_NO_TGT_REPLY
.rdata:0000000142DA7000	00000016	C	SEC_E_OUT_OF_SEQUENCE
.rdata:0000000142DA7018	0000001C	C	SEC_E_PKINIT_CLIENT_FAILURE
.rdata:0000000142DA7038	0000001B	C	SEC_E_PKINIT_NAME_MISMATCH
.rdata:0000000142DA7058	00000017	C	SEC_E_POLICY_NLTM_ONLY
.rdata:0000000142DA7070	00000018	C	SEC_E_QOP_NOT_SUPPORTED
.rdata:0000000142DA7088	0000001B	C	SEC_E_REVOCATION_OFFLINE_C
.rdata:0000000142DA70A8	0000001D	C	SEC_E_REVOCATION_OFFLINE_KDC
.rdata:0000000142DA70C8	00000017	C	SEC_E_SECPKG_NOT_FOUND
.rdata:0000000142DA70E0	0000001A	C	SEC_E_SECURITY_QOS_FAILED
.rdata:0000000142DA7100	0000001B	C	SEC_E_SHUTDOWN_IN_PROGRESS
.rdata:0000000142DA7120	0000001D	C	SEC_E_SMARTCARD_CERT_EXPIRED
.rdata:0000000142DA7140	0000001D	C	SEC_E_SMARTCARD_CERT_REVOKED
.rdata:0000000142DA7160	0000001F	C	SEC_E_SMARTCARD_LOGON_REQUIRED
.rdata:0000000142DA7180	00000022	C	SEC_E_STRONG_CRYPTO_NOT_SUPPORTED
.rdata:0000000142DA71A8	00000015	C	SEC_E_TARGET_UNKNOWN
.rdata:0000000142DA71C0	00000010	C	SEC_E_TIME_SKEW
.rdata:0000000142DA71D0	0000001A	C	SEC_E_TOO_MANY_PRINCIPALS
.rdata:0000000142DA71F0	00000021	C	SEC_E_UNFINISHED_CONTEXT_DELETED
.rdata:0000000142DA7218	0000001A	C	SEC_E_UNKNOWN_CREDENTIALS
.rdata:0000000142DA7238	0000001B	C	SEC_E_UNSUPPORTED_FUNCTION
.rdata:0000000142DA7258	0000001A	C	SEC_E_UNSUPPORTED_PREAUTH
.rdata:0000000142DA7278	00000015	C	SEC_E_UNTRUSTED_ROOT
.rdata:0000000142DA7290	0000001E	C	SEC_E_WRONG_CREDENTIAL_HANDLE
.rdata:0000000142DA72B0	00000016	C	SEC_E_WRONG_PRINCIPAL
.rdata:0000000142DA72C8	0000001C	C	SEC_I_COMPLETE_AND_CONTINUE
.rdata:0000000142DA72E8	00000016	C	SEC_I_COMPLETE_NEEDED
.rdata:0000000142DA7300	00000016	C	SEC_I_CONTEXT_EXPIRED
.rdata:0000000142DA7318	00000016	C	SEC_I_CONTINUE_NEEDED
.rdata:0000000142DA7330	0000001D	C	SEC_I_INCOMPLETE_CREDENTIALS
.rdata:0000000142DA7350	00000012	C	SEC_I_LOCAL_LOGON
.rdata:0000000142DA7368	00000015	C	SEC_I_NO_LSA_CONTEXT
.rdata:0000000142DA7380	00000012	C	SEC_I_RENEGOTIATE
.rdata:0000000142DA7398	00000017	C	SEC_I_SIGNATURE_NEEDED
.rdata:0000000142DA73B0	000000B9	C	SEC_E_ILLEGAL_MESSAGE (0x%08X) - This error usually occurs when a fatal SSL/TLS alert is received (e.g. handshake failed). More detail may be available in the Windows System event log.
.rdata:0000000142DA7470	0000000C	C	%s (0x%08X)
.rdata:0000000142DA7480	00000008	C	%s - %s
.rdata:0000000142DA74A8	00000023	C	ignoring failed cookie_init for %s
.rdata:0000000142DA74CC	00000006	C	;\t\r\n=
.rdata:0000000142DA74D8	0000001E	C	cookie contains TAB, dropping
.rdata:0000000142DA74F8	00000033	C	oversized cookie dropped, name/val %zu + %zu bytes
.rdata:0000000142DA7530	0000000A	C	__Secure-
.rdata:0000000142DA7540	00000008	C	__Host-
.rdata:0000000142DA7548	0000002D	C	invalid octets in name/value, cookie dropped
.rdata:0000000142DA7578	00000007	C	secure
.rdata:0000000142DA7580	00000009	C	httponly
.rdata:0000000142DA7594	00000007	C	domain
.rdata:0000000142DA75A0	0000002D	C	skipped cookie with bad tailmatch domain: %s
.rdata:0000000142DA75D0	00000008	C	max-age
.rdata:0000000142DA75D8	00000008	C	expires
.rdata:0000000142DA75E0	0000000B	C	#HttpOnly_
.rdata:0000000142DA75F4	00000006	C	FALSE
.rdata:0000000142DA7600	00000046	C	cookie '%s' for domain '%s' dropped, would overlay an existing cookie
.rdata:0000000142DA7648	00000009	C	Replaced
.rdata:0000000142DA7654	00000006	C	Added
.rdata:0000000142DA7660	00000036	C	%s cookie %s=\"%s\" for domain %s, path %s, expire %lld
.rdata:0000000142DA7698	00000029	C	WARNING: failed to open cookie file \"%s\"
.rdata:0000000142DA76C8	00000031	C	Included max number of cookies (%zu) in request!
.rdata:0000000142DA7700	0000001B	C	%s%s%s\t%s\t%s\t%s\t%lld\t%s\t%s
.rdata:0000000142DA7720	00000084	C	# Netscape HTTP Cookie File\n# https://curl.se/docs/http-cookies.html\n# This file was generated by libcurl! Edit at your own risk.\n\n
.rdata:0000000142DA77A8	0000002A	C	WARNING: failed to save cookies in %s: %s
.rdata:0000000142DA77D8	00000025	C	getaddrinfo() thread failed to start
.rdata:0000000142DA7890	00000041	C	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
.rdata:0000000142DA79E0	00000011	C	0123456789ABCDEF
.rdata:0000000142DA7AD0	00000007	C	binary
.rdata:0000000142DA7AE8	00000007	C	base64
.rdata:0000000142DA7AF0	00000011	C	quoted-printable
.rdata:0000000142DA7B30	0000000A	C	image/gif
.rdata:0000000142DA7B48	0000000B	C	image/jpeg
.rdata:0000000142DA7B54	00000006	C	.jpeg
.rdata:0000000142DA7B68	0000000A	C	image/png
.rdata:0000000142DA7B80	0000000E	C	image/svg+xml
.rdata:0000000142DA7B90	0000000B	C	text/plain
.rdata:0000000142DA7BA8	0000000A	C	text/html
.rdata:0000000142DA7BB4	00000006	C	.html
.rdata:0000000142DA7BC8	00000010	C	application/pdf
.rdata:0000000142DA7BE0	00000010	C	application/xml
.rdata:0000000142DA7BF0	0000000D	C	Content-Type
.rdata:0000000142DA7C10	0000000C	C	; boundary=
.rdata:0000000142DA7C20	00000015	C	Content-Type: %s%s%s
.rdata:0000000142DA7C38	00000010	C	multipart/mixed
.rdata:0000000142DA7C48	00000014	C	Content-Disposition
.rdata:0000000142DA7C60	0000000B	C	multipart/
.rdata:0000000142DA7C70	0000000B	C	attachment
.rdata:0000000142DA7C80	0000000D	C	; filename=\"
.rdata:0000000142DA7C90	00000009	C	; name=\"
.rdata:0000000142DA7CA0	00000024	C	Content-Disposition: %s%s%s%s%s%s%s
.rdata:0000000142DA7CC8	0000001A	C	Content-Transfer-Encoding
.rdata:0000000142DA7CE8	0000001E	C	Content-Transfer-Encoding: %s
.rdata:0000000142DA7D08	0000000A	C	form-data
.rdata:0000000142DA7D30	0000000A	C	%u/%ld/%s
.rdata:0000000142DA7D40	00000031	C	Connection cache is full, closing the oldest one
.rdata:0000000142DA7D80	00000009	C	http/1.1
.rdata:0000000142DA7E98	00000006	C	multi
.rdata:0000000142DA7EA8	0000000A	C	SSL-PROXY
.rdata:0000000142DA7EB8	0000003B	C	Unrecognized parameter value passed via CURLOPT_SSLVERSION
.rdata:0000000142DA7EF8	00000036	C	CURL_SSLVERSION_MAX incompatible with CURL_SSLVERSION
.rdata:0000000142DA7F38	0000001B	C	-----BEGIN PUBLIC KEY-----
.rdata:0000000142DA7F58	0000001A	C	\n-----END PUBLIC KEY-----
.rdata:0000000142DA7F78	00000009	C	sha256//
.rdata:0000000142DA7F88	0000001D	C	 public key hash: sha256//%s
.rdata:0000000142DA7FA8	0000000A	C	;sha256//
.rdata:0000000142DA7FB8	00000009	C	%s%s%s%s
.rdata:0000000142DA7FC8	00000011	C	CURL_SSL_BACKEND
